taxonID	genus	specificEpithet	infraspecificEpithet	taxonomicStatus	acceptedNameUsageID
wfo-0000135353	Bridgesia	echinopsoides		Unchecked	
wfo-0000356382	Krainzia	crinita		Synonym	wfo-0001288745
wfo-0000356383	Krainzia	schwarzii		Synonym	wfo-0001256403
wfo-0000356385	Krainzia	densispina		Synonym	wfo-0001288758
wfo-0000356386	Krainzia	elongata		Synonym	wfo-0001288776
wfo-0000356387	Krainzia	erythrosperma		Synonym	wfo-0001255919
wfo-0000356388	Krainzia	gracilis		Synonym	wfo-0001256427
wfo-0000356389	Krainzia	guelzowiana		Synonym	wfo-0001430476
wfo-0000356390	Krainzia	microhelia		Synonym	wfo-0001288319
wfo-0000356391	Krainzia	decipiens		Synonym	wfo-0001288756
wfo-0000356401	Krainzia	tepexicensis		Synonym	wfo-0001432032
wfo-0000356429	Krainzia	pottsii		Synonym	wfo-0001287102
wfo-0000357927	Lobivia	conoidea		Synonym	wfo-0001430116
wfo-0000357934	Lagenosocereus	luetzelburgii		Synonym	wfo-1000061034
wfo-0000357936	Lobivia	bonnieae		Synonym	wfo-0001433961
wfo-0000357937	Lobivia	breviflora		Synonym	wfo-0000661987
wfo-0000357939	Lobivia	chrysantha	vatteri	Synonym	wfo-0000662192
wfo-0000357941	Lobivia	chereauniana		Synonym	wfo-0001245594
wfo-0000357943	Lobivia	chrysantha		Synonym	wfo-0000662025
wfo-0000357944	Lobivia	graulichii		Synonym	wfo-0001431307
wfo-0000357946	Lobivia	haagei	crassa	Synonym	wfo-0001430169
wfo-0000357948	Lobivia	columnaris		Synonym	wfo-0001430116
wfo-0000357952	Lobivia	grandiflora		Synonym	wfo-0001434129
wfo-0000357956	Lobivia	haematantha	jasimanensis	Synonym	wfo-0000662129
wfo-0000357958	Lobivia	elongata		Synonym	wfo-0000662129
wfo-0000357959	Lobivia	duursmaiana		Accepted	
wfo-0000357961	Lobivia	cornula		Unchecked	
wfo-0000357962	Lobivia	costata		Synonym	wfo-0001430169
wfo-0000357964	Lobivia	ducis-pauli		Synonym	wfo-0000641586
wfo-0000357965	Lobivia	cylindrica		Synonym	wfo-0000661962
wfo-0000357966	Lobivia	ducis-pauli		Unchecked	
wfo-0000357967	Lobivia	dragai		Unchecked	
wfo-0000357969	Lobivia	cylindracea		Synonym	wfo-0000661969
wfo-0000357970	Lobivia	formosa		Synonym	wfo-0000438996
wfo-0000357971	Lobivia	fallax		Synonym	wfo-0000661969
wfo-0000357977	Lepismium	fluminense		Synonym	wfo-0000399679
wfo-0000357978	Lepismium	dissimile		Synonym	wfo-0000399700
wfo-0000357979	Lepismium	duprei		Synonym	wfo-0000357990
wfo-0000357981	Lepismium	houlletianum		Accepted	
wfo-0000357983	Lepismium	alternatum		Synonym	wfo-0000399666
wfo-0000357984	Lepismium	anceps		Synonym	wfo-0000357990
wfo-0000357985	Rhipsalis	cavernosa		Synonym	wfo-0000357990
wfo-0000357986	Lepismium	chrysanthum		Synonym	wfo-0000399700
wfo-0000357987	Lepismium	chrysocarpum		Synonym	wfo-0000399774
wfo-0000357989	Lepismium	commune		Synonym	wfo-0000357990
wfo-0000357990	Lepismium	cruciforme		Accepted	
wfo-0000357991	Lepismium	knightii		Synonym	wfo-0000357990
wfo-0000357993	Lepismium	lumbricoides		Accepted	
wfo-0000357994	Lepismium	marnierianum		Synonym	wfo-0000399700
wfo-0000357995	Lemaireocereus	gladiger		Unchecked	
wfo-0000357996	Lemaireocereus	griseus		Synonym	wfo-0000438960
wfo-0000357998	Lemaireocereus	matucanensis		Synonym	wfo-0001289179
wfo-0000357999	Lemaireocereus	eichlamii		Synonym	wfo-0000369322
wfo-0000358001	Lemaireocereus	aragonii		Synonym	wfo-0000369322
wfo-0000358002	Lemaireocereus	bavosus		Synonym	wfo-0001257457
wfo-0000358004	Lemaireocereus	deficiens		Synonym	wfo-0000438960
wfo-0000358005	Lemaireocereus	mieckleyanus		Synonym	wfo-0000358086
wfo-0000358007	Leocereus	paulensis		Synonym	wfo-0000614654
wfo-0000358008	Leocereus	squamosus		Synonym	wfo-0000684586
wfo-0000358010	Leocereus	estevesii		Synonym	wfo-1000061038
wfo-0000358011	Lemaireocereus	pruinosus		Synonym	wfo-0000439028
wfo-0000358012	Lemaireocereus	queretarensis		Synonym	wfo-0000439435
wfo-0000358015	Lemaireocereus	schumannii		Synonym	wfo-0000369322
wfo-0000358016	Lemaireocereus	weberi		Synonym	wfo-0000398357
wfo-0000358017	Lemaireocereus	setispinus		Synonym	wfo-0000594769
wfo-0000358019	Lobivia	albolanata		Synonym	wfo-0000662045
wfo-0000358021	Loxanthocereus	erigens		Synonym	wfo-0000569382
wfo-0000358029	Lobivia	albicentra		Accepted	
wfo-0000358030	Leptocladia	viperina		Synonym	wfo-0001256411
wfo-0000358031	Leptocladodia	elongata		Synonym	wfo-0001288776
wfo-0000358032	Leptocladodia	microhelia		Synonym	wfo-0001288319
wfo-0000358033	Leptocladodia	microheliopsis		Synonym	wfo-0001288319
wfo-0000358034	Leptocladodia	sphacelata		Synonym	wfo-0001288973
wfo-0000358035	Lobivia	acanthoplegma		Synonym	wfo-0001260459
wfo-0000358038	Leptocladodia	viperina		Synonym	wfo-0001256411
wfo-0000358040	Lobivia	backebergiana		Synonym	wfo-0001287929
wfo-0000358042	Lobivia	amblayensis		Synonym	wfo-0000662129
wfo-0000358043	Lobivia	amblayensis	albispina	Synonym	wfo-0000662129
wfo-0000358044	Lobivia	areopegon		Unchecked	
wfo-0000358046	Leptocladia	mieheana		Synonym	wfo-0001256270
wfo-0000358048	Lepismium	rigidum		Synonym	wfo-0000399700
wfo-0000358049	Lepismium	pacheco-leonis		Synonym	wfo-0001223735
wfo-0000358050	Lepismium	paradoxum		Synonym	wfo-0000399666
wfo-0000358051	Lepismium	pittieri		Synonym	wfo-0000399668
wfo-0000358052	Lepismium	ramosissimum		Synonym	wfo-0000357990
wfo-0000358053	Lepismium	saxatile		Synonym	wfo-0000399700
wfo-0000358056	Lepismium	tenue		Synonym	wfo-0000357990
wfo-0000358057	Lepismium	vollii		Synonym	wfo-0000357990
wfo-0000358058	Lepismium	puniceodiscum		Synonym	wfo-0000399774
wfo-0000358059	Lepismium	neves-armondii		Synonym	wfo-0000399673
wfo-0000358060	Lepismium	myosurus		Synonym	wfo-0000357990
wfo-0000358061	Lepismium	megalanthum		Synonym	wfo-0001434005
wfo-0000358063	Leptocereus	arboreus		Accepted	
wfo-0000358064	Leptocereus	prostratus		Accepted	
wfo-0000358065	Leptocereus	santamarinae		Synonym	wfo-0000358067
wfo-0000358066	Leptocereus	scopulophilus		Accepted	
wfo-0000358067	Leptocereus	sylvestris		Accepted	
wfo-0000358068	Lepismium	warmingianum		Accepted	
wfo-0000358070	Leptocereus	wrightii		Accepted	
wfo-0000358071	Leptocereus	leonii		Accepted	
wfo-0000358072	Leptocladia	echinaria		Synonym	wfo-0001255918
wfo-0000358073	Leptocladia	leona		Synonym	wfo-0001287102
wfo-0000358074	Leptocladia	microhelia		Synonym	wfo-0001288319
wfo-0000358075	Leptocladia	microheliopsis		Synonym	wfo-0001288319
wfo-0000358077	Leptocereus	carinatus		Accepted	
wfo-0000358078	Leptocereus	grantianus		Accepted	
wfo-0000358079	Leptocereus	maxonii		Accepted	
wfo-0000358081	Lobivia	aurea		Synonym	wfo-0000661962
wfo-0000358082	Lophocereus	sargentianus		Synonym	wfo-0000358086
wfo-0000358083	Lodia	mandragora		Synonym	wfo-0000398898
wfo-0000358085	Lophocereus	mieckleyanus		Synonym	wfo-0000358086
wfo-0000358086	Lophocereus	schottii		Accepted	
wfo-0000358087	Lobivia	watadae		Unchecked	
wfo-0000358088	Lophocereus	mieckleyanus		Synonym	wfo-0000358086
wfo-0000358090	Lobivia	wilkeae		Synonym	wfo-0001264606
wfo-0000358093	Loxanthocereus	canetensis		Synonym	wfo-0000569382
